
Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),MPG
Tesla,Roadster,2023,,,737,< 1.9,"200,000",17.99333333333333
Alpine,A110,2021,1.8,288.0,236,4.4,"71,500",23.4
Audi,RS7,2021,4.0,591.0,590,3.5,"114,000",18.0
BMW,M4,2021,3.0,473.0,406,4.1,"71,800",20.4
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,195",13.4
Dodge,Viper,2017,8.4,645.0,600,3.3,"118,795",9.0
Ferrari,Portofino,2021,3.9,591.0,560,3.5,"218,750",18.2
Jaguar,F-Type,2022,3.0,296.0,295,5.4,"61,600",21.0
Lamborghini,Aventador SVJ,2021,6.5,770.0,531,2.8,"517,700",12.4
McLaren,600LT,2021,3.8,592.0,457,2.8,"240,000",18.4
Aston Martin,DB11,2021,5.2,630.0,516,3.5,"221,400",15.5
Bentley,Continental GT,2021,6.0,626.0,664,3.6,"202,500",13.9
Bugatti,Chiron,2022,8.0,1500.0,1180,2.4,"3,000,000",7.0
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"64,100",13.2
Jaguar,F-Type R,2022,5.0,575.0,516,3.5,"103,200",16.1
Koenigsegg,Jesko,2022,5.0,1280.0,1015,2.5,"2,800,000",13.7
Lexus,LC 500,2021,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"100,450",19.6
Maserati,GranTurismo,2021,4.7,454.0,384,4.8,"150,980",17.1
McLaren,Artura,2022,3.0,671.0,531,3,"225,000",19.8
Mercedes-AMG,C 63 S,2022,4.0,503.0,516,3.7,"81,550",18.3
Pagani,Huayra,2021,6.0,764.0,738,2.8,"3,500,000",13.5
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"102,550",18.6
Rimac,C_Two,2022,,1888.0,1696,1.8,"2,400,000",17.99333333333333
Rolls-Royce,Wraith,2021,6.6,624.0,642,4.4,"330,000",12.7
Tesla,Roadster,2022,,,0,1.9,"200,000",17.99333333333333
Toyota,Supra,2022,3.0,382.0,368,3.9,"43,090",20.7
Acura,NSX,2021,3.5,573.0,476,2.7,"157,500",19.1
Aston Martin,Vantage,2021,4.0,503.0,505,3.5,"146,000",18.3
Bentley,Continental GT,2022,4.0,542.0,568,3.9,"207,825",18.2
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"64,195",13.2
Jaguar,F-Type,2022,3.0,380.0,339,4.8,"62,250",20.7
Lexus,LC 500,2022,5.0,471.0,398,4.4,"92,000",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"105,000",19.6
Maserati,GranTurismo,2022,4.7,454.0,384,4.7,"134,300",17.1
McLaren,570S,2022,3.8,562.0,443,2.9,"204,550",18.5
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"102,000",18.6
Tesla,Model S Plaid,2021,,1020.0,1050,1.9,"141,190",17.99333333333333
Audi,RS 5,2021,2.9,444.0,443,3.5,"75,100",20.7
BMW,M2 Competition,2022,3.0,405.0,406,4,"59,895",20.6
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,995",13.4
Dodge,Viper ACR,2017,8.4,645.0,600,3.3,"126,190",9.0
Ford,GT,2021,3.5,660.0,550,2.9,"500,000",18.8
Porsche,Taycan 4S,2022,2.5,482.0,472,3.8,"102,900",21.4
Lamborghini,Aventador S,2021,6.5,730.0,509,2.9,"417,650",12.6
Aston Martin,DB11,2021,5.2,630.0,516,3.5,"205,000",15.5
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443,3.8,"81,250",20.5
Audi,RS7 Sportback,2022,4.0,591.0,590,3.5,"115,045",18.0
BMW,M4 Competition,2021,3.0,503.0,479,3.9,"75,695",20.3
Chevrolet,Camaro SS,2022,6.2,455.0,455,4.1,"42,000",14.100000000000001
Dodge,Charger Hellcat,2021,6.2,717.0,650,3.6,"71,490",13.2
Ferrari,F8 Tributo,2021,3.9,710.0,568,2.9,"274,280",17.8
Ford,GT,2021,3.5,660.0,550,2.8,"500,000",18.8
Jaguar,F-Type R,2021,5.0,575.0,516,3.5,"103,200",16.1
Koenigsegg,Jesko Absolut,2022,5.0,1600.0,1106,2.1,"2,800,000",12.7
Lexus,LC 500,2021,5.0,471.0,398,4.4,"93,050",16.4
Lotus,Evija,2022,,1973.0,1254,2.5,"2,750,000",17.99333333333333
McLaren,GT,2022,4.0,612.0,465,3.2,"210,000",18.0
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,590,3.2,"326,050",17.6
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"102,500",18.6
Lamborghini,Aventador,2021,6.5,770.0,531,2.8,"417,650",12.4
Ferrari,Portofino,2021,3.9,591.0,560,3.3,"218,750",18.2
Audi,TT RS,2022,2.5,394.0,354,3.6,"69,000",21.7
McLaren,600LT Spider,2021,3.8,592.0,457,2.8,"256,500",18.4
BMW,M4,2022,3.0,473.0,406,4.1,"72,800",20.4
Mercedes-Benz,AMG C 63,2022,4.0,503.0,516,3.8,"70,000",18.3
Chevrolet,Camaro SS 1LE,2021,6.2,455.0,455,4,"44,500",14.100000000000001
Ford,Mustang Mach 1,2021,5.0,480.0,420,4,"51,000",16.4
Nissan,370Z Nismo,2021,3.7,350.0,276,5.2,"45,000",19.4
Aston Martin,Vantage,2021,4.0,503.0,505,3.5,"146,000",18.3
Bugatti,Chiron,2022,8.0,1500.0,1180,2.4,"3,000,000",7.0
Koenigsegg,Jesko,2021,5.0,1262.0,1106,2.5,"3,000,000",13.8
Pagani,Huayra,2021,6.0,764.0,738,2.6,"2,600,000",13.5
McLaren,Speedtail,2021,4.0,1035.0,848,2.5,"2,300,000",16.6
Lamborghini,Sián,2021,6.5,819.0,531,2.8,"3,600,000",12.3
Rimac,C_Two,2021,,1914.0,1732,1.8,"2,400,000",17.99333333333333
Porsche,Cayman,2022,2.0,300.0,280,4.9,"59,900",23.0
Lamborghini,Aventador,2021,6.5,770.0,531,2.8,"393,695",12.4
Ferrari,Portofino,2021,3.9,591.0,413,3.5,"215,000",18.2
Audi,RS 5,2022,2.9,444.0,443,3.7,"75,100",20.7
McLaren,GT,2021,4.0,620.0,465,3.1,"210,000",17.9
BMW,Z4 M40i,2022,3.0,382.0,369,4.3,"63,700",20.7
Mercedes-Benz,SLC 43,2020,3.0,385.0,384,4.6,"62,000",20.7
Chevrolet,Camaro SS,2022,6.2,455.0,455,4.3,"42,500",14.100000000000001
Ford,Mustang GT,2022,5.0,460.0,420,4.3,"36,120",16.5
Nissan,370Z Nismo,2020,3.7,350.0,276,4.6,"45,790",19.4
Aston Martin,Vantage,2022,4.0,503.0,505,3.6,"146,000",18.3
Bentley,Continental GT,2021,4.0,626.0,664,3.3,"220,000",17.9
Porsche,718 Boxster,2022,2.0,300.0,280,4.9,"62,000",23.0
Lamborghini,Urus,2021,4.0,641.0,627,3.6,"222,004",17.9
Ferrari,F8 Spider,2021,3.9,710.0,568,2.9,"280,000",17.8
Audi,TT RS,2022,2.5,394.0,354,3.6,"69,900",21.7
McLaren,570S,2021,3.8,562.0,443,2.9,"208,800",18.5
BMW,M4,2022,3.0,473.0,406,4,"72,800",20.4
Porsche,718 Cayman,2022,2.0,300.0,280,4.9,"60,500",23.0
Lamborghini,Aventador,2021,6.5,730.0,509,2.9,"393,695",12.6
Ferrari,SF90 Stradale,2022,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS5,2022,2.9,444.0,443,3.7,"75,100",20.7
McLaren,GT,2021,4.0,612.0,465,3.2,"208,800",18.0
BMW,M2,2022,3.0,405.0,406,4,"58,900",20.6
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468,3.6,"229,000",13.5
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"62,000",13.4
Ford,GT,2022,3.5,660.0,550,3,"500,000",18.8
Nissan,370Z Nismo,2020,3.7,350.0,276,5.2,"46,200",19.4
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.6,"71,000",13.2
Aston Martin,DBS Superleggera,2021,5.2,715.0,663,3.2,"308,000",15.2
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443,3.8,"80,500",20.5
Jaguar,F-Type R,2021,5.0,575.0,516,3.5,"105,900",16.1
Lotus,Evora GT,2020,3.5,416.0,317,3.8,"96,950",19.6
Maserati,GranTurismo,2019,4.7,454.0,384,4.7,"150,980",17.1
Porsche,Panamera Turbo S,2022,4.0,630.0,604,2.9,"180,800",17.9
Lamborghini,Urus,2021,4.0,641.0,627,3.2,"218,000",17.9
Aston Martin,Vantage,2021,4.0,503.0,505,3.5,"146,000",18.3
Lotus,Evora,2021,3.5,416.0,317,3.8,"94,000",19.6
Alfa Romeo,4C Spider,2020,1.7,237.0,258,4.1,"67,150",23.8
Jaguar,F-Type,2022,3.0,380.0,339,4.9,"70,900",20.7
Maserati,GranTurismo,2021,4.7,454.0,384,4.7,"134,300",17.1
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"100,200",18.6
Audi,RS5 Coupe,2022,2.9,444.0,443,3.7,"76,450",20.7
BMW,M2 Competition,2021,3.0,405.0,406,4,"58,900",20.6
Chevrolet,Camaro ZL1,2022,6.2,650.0,650,3.5,"64,000",13.4
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656,3.5,"61,500",13.2
Ford,GT,2021,3.5,647.0,550,2.8,"500,000",18.8
Lexus,LC 500,2022,5.0,471.0,398,4.4,"92,950",16.4
McLaren,570S,2022,3.8,562.0,443,3.1,"198,950",18.5
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,516,3.7,"77,950",18.3
Nissan,370Z Nismo,2021,3.7,350.0,276,4.9,"45,790",19.4
Porsche,718 Boxster,2021,2.0,300.0,280,4.9,"62,000",23.0
Lamborghini,Aventador S,2021,6.5,729.0,507,2.9,"417,826",12.6
Ferrari,F8 Tributo,2021,3.9,710.0,568,2.9,"274,280",17.8
Audi,TT RS Coupe,2021,2.5,394.0,354,3.6,"67,600",21.7
BMW,M4 Coupe,2021,3.0,473.0,406,3.8,"71,800",20.4
Acura,NSX,2021,3.5,573.0,476,2.7,"159,495",19.1
Aston Martin,DBS Superleggera,2022,5.2,715.0,664,3.4,"314,500",15.2
Bentley,Continental GT,2022,6.0,626.0,664,3.3,"214,425",13.9
Bugatti,Chiron,2022,8.0,1500.0,1180,2.3,"3,000,000",7.0
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656,3.5,"71,490",13.2
Jaguar,F-Type,2021,5.0,575.0,516,3.5,"105,900",16.1
Koenigsegg,Jesko,2021,5.0,1280.0,1106,2.5,"2,800,000",13.7
Lexus,LC 500,2021,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"104,400",19.6
Maserati,GranTurismo,2022,4.7,454.0,384,4.7,"150,980",17.1
McLaren,Artura,2022,3.0,671.0,531,3,"225,000",19.8
Pagani,Huayra,2021,6.0,764.0,738,2.6,"2,600,000",13.5
Porsche,Cayman GT4,2022,4.0,414.0,309,4.2,"102,000",18.6
Rimac,C_Two,2021,,1914.0,1696,1.9,"2,400,000",17.99333333333333
Rolls-Royce,Wraith,2021,6.8,624.0,605,4.4,"335,550",12.3
Tesla,Model S Plaid,2021,,1020.0,1050,1.9,"141,990",17.99333333333333
Toyota,GR Supra,2022,3.0,382.0,368,3.9,"43,090",20.7
TVR,Griffith,2021,5.0,500.0,420,3.9,"157,500",16.3
Ultima,RS,2021,6.2,1200.0,1300,2.3,"220,000",11.6
W Motors,Fenyr SuperSport,2022,3.8,800.0,723,2.7,"1,550,000",17.7
Acura,NSX,2021,3.5,573.0,476,2.9,"157,500",19.1
Aston Martin,DBS Superleggera,2022,5.2,715.0,663,3.2,"308,000",15.2
Bentley,Continental GT,2021,6.0,626.0,664,3.6,"202,500",13.9
Bugatti,Chiron,2021,8.0,1500.0,1180,2.3,"3,000,000",7.0
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"65,000",13.2
Jaguar,F-Type,2021,3.0,380.0,339,4.9,"63,100",20.7
Lexus,LC 500,2021,5.0,471.0,398,4.4,"92,950",16.4
Lotus,Evija,2022,,1973.0,1254,2.5,"2,600,000",17.99333333333333
Maserati,GranTurismo,2021,4.7,454.0,384,4.8,"134,300",17.1
Porsche,Taycan,2021,,616.0,774,2.6,"185,000",17.99333333333333
Rimac,C_Two,2022,,1914.0,1696,1.9,"2,400,000",17.99333333333333
Tesla,Model S Plaid,2022,,1020.0,1050,1.98,"140,000",17.99333333333333
McLaren,Artura,2022,3.0,671.0,531,3,"225,000",19.8
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,590,3.1,"325,000",17.6
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"63,000",13.4
Ford,GT,2021,3.5,647.0,550,3,"500,000",18.8
Aston Martin,DBS Superleggera,2021,5.2,715.0,664,3.4,"307,820",15.2
Jaguar,F-Type,2022,5.0,575.0,516,3.5,"103,200",16.1
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707,3.5,"80,190",12.9
Lotus,Evora GT,2022,3.5,416.0,317,3.8,"105,000",19.6
Alfa Romeo,4C Spider,2020,1.8,237.0,258,4.1,"68,745",23.6
Subaru,WRX STI,2022,2.5,310.0,290,5.2,"38,170",22.0
Acura,NSX,2022,3.5,573.0,476,2.7,"157,500",19.1
Koenigsegg,Jesko,2021,5.0,1280.0,1015,2.5,"2,800,000",13.7
Tesla,Model S Plaid,2022,,1020.0,1050,1.98,"139,990",17.99333333333333
Bugatti,Chiron Super Sport 300+,2022,8.0,1578.0,1180,2.3,"5,200,000",6.699999999999999
McLaren,Senna,2020,4.0,789.0,590,2.7,"1,500,000",17.4
Porsche,Taycan Turbo S,2022,,750.0,774,2.6,"185,000",17.99333333333333
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622.0,468,3.5,"275,000",13.5
Lexus,LC 500,2022,5.0,471.0,398,4.4,"93,050",16.4
Chevrolet,Camaro ZL1,2022,6.2,650.0,650,3.5,"65,000",13.4
Audi,RS 7 Sportback,2022,4.0,591.0,590,3.5,"114,000",18.0
Ford,GT,2022,3.5,660.0,550,3,"500,000",18.8
BMW,M2 CS,2022,3.0,444.0,406,3.8,"84,595",20.5
Porsche,Cayman GT4,2022,4.0,414.0,309,4.2,"102,550",18.6
Lamborghini,Aventador,2022,6.5,770.0,531,2.8,"393,695",12.4
Aston Martin,Vantage,2021,4.0,503.0,505,3.6,"146,000",18.3
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"96,950",19.6
Porsche,Panamera Turbo S,2021,4.0,620.0,604,2.9,"180,000",17.9
Lamborghini,Aventador S,2022,6.5,729.0,507,2.9,"460,247",12.6
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS 6 Avant,2022,4.0,591.0,590,3.1,"110,045",18.0
McLaren,570S,2021,3.8,562.0,443,3.1,"192,500",18.5
BMW,M5,2022,4.4,600.0,553,3.2,"103,500",17.2
Mercedes-Benz,AMG C 63 S,2021,4.0,503.0,516,3.7,"77,400",18.3
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,695",13.4
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"64,195",13.2
Ford,GT,2021,3.5,660.0,550,3,"500,000",18.8
Nissan,370Z Nismo,2020,3.7,350.0,276,5,"46,815",19.4
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"102,550",18.6
Audi,TT RS,2021,2.5,394.0,354,3.6,"67,895",21.7
Chevrolet,Corvette Z06,2023,5.5,625.0,650,2.6,"85,000",14.899999999999999
Lamborghini,Urus,2022,4.0,641.0,626,3.2,"218,009",17.9
Mercedes-Benz,AMG GT 63 S,2021,4.0,630.0,664,3.1,"162,900",17.9
Ferrari,Portofino M,2022,3.9,612.0,560,3.5,"245,000",18.2
Bugatti,Chiron,2021,8.0,1479.0,1180,2.5,"3,000,000",7.1
Aston Martin,DBS Superleggera,2021,5.2,715.0,664,3.4,"304,995",15.2
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"100,450",19.6
Porsche,Cayman GT4,2022,4.0,414.0,309,4.2,"100,200",18.6
Acura,NSX,2021,3.5,573.0,476,2.7,"157,500",19.1
Lexus,LC,2021,5.0,471.0,398,4.4,"92,950",16.4
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443,3.8,"74,750",20.5
Audi,RS7,2021,4.0,591.0,590,3.5,"114,000",18.0
Bentley,Continental GT,2021,6.0,626.0,664,3.3,"218,400",13.9
BMW,M5,2021,4.4,600.0,553,3.2,"103,500",17.2
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,695",13.4
Dodge,Challenger Hellcat,2021,6.2,717.0,656,3.5,"70,595",13.2
Ford,GT,2022,3.5,647.0,550,3,"500,000",18.8
Jaguar,F-Type R,2021,5.0,575.0,516,3.5,"103,200",16.1
Lamborghini,Aventador,2021,6.5,730.0,509,2.9,"393,695",12.6
McLaren,570S,2021,3.8,562.0,443,3.1,"203,500",18.5
Mercedes-Benz,SLS AMG,2015,6.2,583.0,479,3.6,"221,580",13.7
Nissan,370Z Nismo,2020,3.7,350.0,276,4.7,"47,190",19.4
Porsche,Boxster,2021,2.0,300.0,280,4.9,"62,000",23.0
Porsche,718 Cayman,2022,2.0,300.0,280,4.9,"61,500",23.0
Lamborghini,Aventador,2021,6.5,759.0,531,2.9,"393,695",12.5
Ferrari,Roma,2021,3.9,612.0,561,3.3,"222,630",18.2
Audi,RS 5,2022,2.9,444.0,442,3.5,"75,400",20.7
McLaren,570S,2020,3.8,562.0,443,3.1,"208,000",18.5
BMW,M2,2022,3.0,405.0,406,4.2,"58,900",20.6
Mercedes-Benz,SL,2022,3.0,429.0,384,4.9,"96,250",20.6
Chevrolet,Camaro,2021,6.2,455.0,455,4,"25,000",14.100000000000001
Ford,GT,2022,3.5,660.0,550,3,"500,000",18.8
Nissan,370Z Nismo,2021,3.7,350.0,276,5,"45,000",19.4
Aston Martin,DBS Superleggera,2021,5.2,715.0,664,3.4,"307,820",15.2
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"100,450",19.6
Maserati,GranTurismo,2021,4.7,454.0,384,4.7,"134,300",17.1
Porsche,Panamera,2022,2.9,325.0,331,5.2,"88,550",21.1
Lamborghini,Urus,2021,4.0,641.0,627,3.6,"218,009",17.9
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS 6,2022,4.0,591.0,590,3.5,"109,000",18.0
McLaren,Artura,2022,3.0,671.0,531,3,"225,000",19.8
Porsche,Taycan 4S,2021,,429.0,472,3.8,"103,800",17.99333333333333
Lamborghini,Aventador S,2021,6.5,730.0,509,2.9,"417,650",12.6
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS 7,2022,4.0,591.0,590,3.5,"117,000",18.0
McLaren,570S,2021,3.8,562.0,443,3.1,"192,500",18.5
BMW,M4,2021,3.0,473.0,406,4,"72,800",20.4
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468,3.5,"228,000",13.5
Chevrolet,Camaro SS,2021,6.2,455.0,455,4,"42,000",14.100000000000001
Ford,GT,2021,3.5,660.0,550,3,"500,000",18.8
Nissan,370Z Nismo,2021,3.7,350.0,276,5,"48,000",19.4
Aston Martin,DBS Superleggera,2021,5.2,715.0,664,3.2,"307,820",15.2
Lexus,LC 500,2021,5.0,471.0,398,4.4,"93,000",16.4
Bentley,Continental GT,2021,4.0,626.0,664,3.3,"202,500",17.9
Maserati,GranTurismo,2021,4.7,454.0,384,4.7,"150,980",17.1
Tesla,Model S Plaid,2022,,1020.0,1050,1.98,"131,190",17.99333333333333
Rolls-Royce,Dawn,2021,6.6,563.0,605,4.3,"346,300",12.9
Bugatti,Chiron Pur Sport,2021,8.0,1500.0,1180,2.3,"3,599,000",7.0
McLaren,Senna,2019,4.0,789.0,590,2.7,"1,050,000",17.4
Porsche,Panamera Turbo S E-Hybrid,2021,,690.0,641,3,"186,350",17.99333333333333
Acura,NSX,2021,3.5,573.0,476,2.7,"157,500",19.1
Aston Martin,DB11,2021,4.0,503.0,498,3.7,"205,600",18.3
Audi,RS7,2021,4.0,591.0,590,3.5,"114,000",18.0
Bentley,Continental GT,2021,6.0,626.0,664,3.6,"201,000",13.9
Bugatti,Chiron,2021,8.0,1500.0,1180,2.5,"3,000,000",7.0
Chevrolet,Camaro ZL1,2022,6.2,650.0,650,3.5,"67,000",13.4
Dodge,Challenger Hellcat,2021,6.2,717.0,656,3.5,"64,000",13.2
Ferrari,812 Superfast,2021,6.5,789.0,530,2.8,"340,000",12.4
Lamborghini,Aventador SVJ,2021,6.5,770.0,531,2.8,"517,770",12.4
McLaren,600LT Spider,2021,3.8,592.0,457,2.8,"256,500",18.4
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590,3.1,"325,000",17.6
Nissan,400Z,2023,3.0,400.0,350,4,"40,000",20.7
Porsche,Cayman GT4,2021,4.0,414.0,309,4.2,"101,000",18.6
Rimac,Nevera,2021,,1914.0,1696,1.9,"2,400,000",17.99333333333333
Rolls-Royce,Wraith,2021,6.8,624.0,605,4.4,"330,000",12.3
Tesla,Model S Plaid,2021,,1020.0,,1.9,"139,990",17.99333333333333
Toyota,Supra,2021,3.0,382.0,368,3.9,"43,000",20.7
Porsche,718 Boxster,2021,2.0,300.0,280,4.9,"62,000",23.0
Porsche,718 Boxster,2022,2.0,300.0,280,4.9,"62,000",23.0
Lamborghini,Aventador S,2021,6.5,730.0,509,2.9,"417,826",12.6
Ferrari,SF90 Stradale,2022,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS 7,2022,4.0,591.0,590,3.5,"114,000",18.0
McLaren,Artura,2021,3.0,671.0,531,3,"225,000",19.8
BMW,M2,2022,3.0,405.0,406,4.1,"58,900",20.6
Mercedes-Benz,SLS AMG,2015,6.2,583.0,479,3.6,"221,580",13.7
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"64,695",13.4
Ford,GT,2022,3.5,647.0,550,3,"500,000",18.8
Nissan,370Z Nismo,2021,3.7,350.0,276,4.8,"45,000",19.4
Dodge,Charger Hellcat,2021,6.2,707.0,650,3.6,"69,995",13.2
Aston Martin,DBS Superleggera,2021,5.2,715.0,663,3.2,"305,000",15.2
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443,3.8,"75,000",20.5
Audi,TT RS,2021,2.5,394.0,354,3.6,"68,000",21.7
Bentley,Continental GT,2021,6.0,626.0,664,3.6,"203,825",13.9
BMW,M5,2022,4.4,600.0,553,3.2,"103,500",17.2
Chevrolet,Corvette Stingray,2021,6.2,495.0,470,2.9,"58,900",14.0
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"63,000",13.2
Ford,Mustang GT,2022,5.0,460.0,420,4,"45,000",16.5
Porsche,Cayman,2022,2.0,300.0,280,4.9,"59,900",23.0
Lamborghini,Aventador,2021,6.5,770.0,531,2.8,"417,826",12.4
Ferrari,Roma,2022,3.9,612.0,560,3.3,"222,630",18.2
Audi,RS7,2022,4.0,591.0,590,3.5,"114,000",18.0
McLaren,570S,2021,3.8,562.0,443,2.7,"204,995",18.5
BMW,M4,2022,3.0,473.0,406,4.1,"71,800",20.4
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468,3.5,"243,600",13.5
Chevrolet,Camaro SS,2021,6.2,455.0,455,4,"42,000",14.100000000000001
Ford,GT,2022,3.5,660.0,550,2.8,"500,000",18.8
Nissan,370Z Nismo,2021,3.7,350.0,276,5,"47,190",19.4
Porsche,Panamera,2022,2.9,325.0,331,5.4,"88,550",21.1
Lamborghini,Urus,2021,4.0,641.0,627,3.2,"218,000",17.9
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS6,2022,4.0,591.0,590,3.5,"113,000",18.0
McLaren,Artura,2021,3.0,671.0,531,3,"225,000",19.8
BMW,M2,2022,3.0,405.0,406,4,"58,900",20.6
Mercedes-Benz,GT 63,2021,4.0,577.0,590,3.3,"161,200",18.1
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"63,000",13.4
Aston Martin,DBS Superleggera,2021,5.2,715.0,663,3.2,"310,000",15.2
Bugatti,Chiron,2022,8.0,1500.0,1180,2.4,"3,000,000",7.0
Koenigsegg,Jesko,2021,5.0,1280.0,1106,2.5,"2,800,000",13.7
Pagani,Huayra,2021,6.0,764.0,737,3,"2,600,000",13.5
Rimac,C_Two,2022,,1914.0,1696,1.85,"2,400,000",17.99333333333333
McLaren,Senna,2021,4.0,789.0,590,2.7,"1,000,000",17.4
Porsche,918 Spyder,2015,4.6,887.0,944,2.2,"1,800,000",15.8
Ferrari,SF90 Stradale,2021,4.0,986.0,590,2.5,"625,000",16.7
Lamborghini,Aventador SVJ,2020,6.5,759.0,531,2.8,"517,000",12.5
Audi,RS 6 Avant,2021,4.0,591.0,590,3.5,"110,000",18.0
Bentley,Continental GT Speed,2022,6.0,650.0,664,3.5,"300,000",13.8
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"68,000",13.4
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656,3.5,"65,000",13.2
Ford,GT,2021,3.5,660.0,550,2.9,"500,000",18.8
Lexus,LC 500,2022,5.0,471.0,398,4.4,"92,000",16.4
Lotus,Evija,2022,,1972.0,1254,2.5,"2,700,000",17.99333333333333
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590,3.1,"330,000",17.6
Aston Martin,DB11,2021,4.0,503.0,513,3.9,"205,000",18.3
Bentley,Continental GT,2022,4.0,542.0,568,3.9,"229,000",18.2
Jaguar,F-Type,2022,2.0,296.0,295,5.4,"62,750",23.0
Lotus,Evora GT,2021,3.5,416.0,317,3.8,"100,000",19.6
Maserati,GranTurismo,2021,4.7,454.0,384,4.7,"135,000",17.1
Porsche,Boxster,2022,2.0,300.0,280,4.9,"63,000",23.0
Alfa Romeo,4C,2020,1.8,237.0,258,4.2,"67,150",23.6
Chevrolet,Camaro,2022,6.2,455.0,455,4,"62,195",14.100000000000001
Dodge,Challenger,2022,3.6,305.0,268,6.4,"28,000",19.8
Ford,GT,2022,3.5,660.0,550,2.9,"500,000",18.8
Audi,RS7,2022,4.0,591.0,590,3.5,"115,045",18.0
BMW,M4,2022,3.0,473.0,406,4.1,"71,800",20.4
Lamborghini,Aventador,2021,6.5,729.0,507,2.9,"393,695",12.6
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479,3.8,"69,900",18.4
Nissan,370Z,2021,3.7,350.0,276,5.3,"30,090",19.4
Porsche,Cayman,2022,2.0,300.0,280,4.9,"68,000",23.0
BMW,i8,2022,1.5,369.0,184,4.2,"147,500",23.8
Chevrolet,Corvette Stingray,2021,6.2,495.0,470,2.9,"58,900",14.0
Porsche,Taycan Turbo S,2022,,750.0,774,2.6,"185,000",17.99333333333333
Lamborghini,Aventador S,2021,6.5,729.0,507,2.9,"417,650",12.6
Ferrari,SF90 Stradale,2022,4.0,986.0,590,2.5,"625,000",16.7
Audi,RS7,2022,4.0,591.0,590,3.5,"115,000",18.0
McLaren,GT,2022,4.0,620.0,465,3.1,"208,000",17.9
BMW,M5,2022,4.4,600.0,553,3.2,"103,500",17.2
Mercedes-Benz,SLS AMG,2021,4.0,730.0,590,2.9,"250,000",17.6
Chevrolet,Camaro ZL1,2021,6.2,650.0,650,3.5,"63,000",13.4
Ford,GT,2022,3.5,660.0,550,2.8,"500,000",18.8
Nissan,370Z Nismo,2021,3.7,350.0,276,5,"46,100",19.4
